Date,ClosePrice
2019-04-02,1163.82
2019-04-03,1165.84
2019-04-04,1165.2
2019-04-07,1182.36
2019-04-08,1191.68
2019-04-09,1181.1
2019-04-10,1184.61
2019-04-11,1184.02
2019-04-15,1188.71
2019-04-16,1212.05
2019-04-17,1217.04
2019-04-18,1232.26
2019-04-21,1264.2
2019-04-22,1256.94
2019-04-23,1260.68
2019-04-24,1279.29
2019-04-25,1292.12
2019-04-28,1314.51
2019-04-29,1310.31
2019-04-30,1298.6
2019-05-02,1294.39
2019-05-05,1277.68
2019-05-06,1299.41
2019-05-07,1301.28
2019-05-08,1297.6
2019-05-09,1291.96
2019-05-12,1295.03
2019-05-13,1301.34
2019-05-14,1315.45
2019-05-15,1321
2019-05-16,1318.71
2019-05-19,1316.84
2019-05-20,1307.71
2019-05-21,1312.14
2019-05-22,1319.63
2019-05-23,1314.55
2019-05-26,1302.61
2019-05-27,1302.96
2019-05-28,1305.49
2019-05-29,1313.88
2019-05-30,1319.47
2019-06-02,1305.68
2019-06-03,1292.84
2019-06-04,1289.28
2019-06-06,1284.59
2019-06-10,1275.81
2019-06-11,1275.98
2019-06-12,1272.49
2019-06-13,1269.56
2019-06-16,1258.27
2019-06-17,1260.9
2019-06-18,1258.67
2019-06-19,1258.47
2019-06-20,1258.95
2019-06-25,1261.07
2019-06-26,1258.29
2019-06-27,1257.16
2019-06-30,1244.89
2019-07-01,1242.04
2019-07-02,1253.06
2019-07-03,1268.68
2019-07-04,1260.47
2019-07-07,1256.05
2019-07-08,1247.35
2019-07-09,1250.27
2019-07-10,1249.15
2019-07-11,1248.53
2019-07-14,1249.49
2019-07-15,1254.57
2019-07-16,1259.02
2019-07-17,1274.86
2019-07-18,1272.5
2019-07-21,1268.75
2019-07-22,1271.23
2019-07-23,1277.17
2019-07-24,1284.07
2019-07-25,1269.92
2019-07-28,1252.81
2019-07-29,1255.99
2019-07-30,1259.38
2019-07-31,1265.58
2019-08-01,1263.84
2019-08-04,1259.64
2019-08-05,1255.1
2019-08-06,1245.73
2019-08-07,1248.49
2019-08-08,1238.56
2019-08-11,1233.72
2019-08-12,1233.85
2019-08-13,1231.07
2019-08-14,1225.9
2019-08-15,1224.04
2019-08-18,1214.84
2019-08-19,1222.07
2019-08-20,1213.64
2019-08-21,1214.06
2019-08-22,1213.07
2019-08-25,1209.62
2019-08-26,1203.13
2019-08-27,1208.01
2019-08-28,1197.75
2019-08-29,1196.42
2019-09-01,1184.79
2019-09-02,1170.34
2019-09-03,1190.91
2019-09-04,1194.77
2019-09-05,1191.07
2019-09-08,1178.46
2019-09-09,1168.92
2019-09-10,1166.67
2019-09-11,1163.21
2019-09-12,1157.89
2019-09-15,1140.02
2019-09-16,1123.84
2019-09-17,1150.74
2019-09-18,1173.43
2019-09-19,1155.3
2019-09-22,1139.26
2019-09-23,1140.99
2019-09-24,1134.57
2019-09-25,1131.53
2019-09-26,1129.81
2019-09-29,1125.15
2019-09-30,1135.57
2019-10-01,1145.69
2019-10-02,1140.71
2019-10-03,1149.4
2019-10-10,1149.01
2019-10-14,1136.96
